id,PROPERTY TYPE,CITY,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,LATITUDE,LONGITUDE,community,floor
NY_64,Multi-Family (2-4 Unit),Bayside,7.0,4.5,Bayside,3486.0,3900.0,1970.0,47.0,,40.783125,-73.7761063,Bayside,wood floor
NY_11140,Multi-Family (2-4 Unit),Flushing,5.0,3.0,Flushing,2340.0,3100.0,1955.0,406.0,,40.754725,-73.801615,,
NY_8927,Single Family Residential,Brooklyn,3.0,3.0,Sunset Park,1100.0,1669.0,1930.0,950.0,,40.6554889,-74.0015395,Sunset Park,No
NY_972,Single Family Residential,Staten Island,2.0,1.0,Silver Lake,936.0,4800.0,1920.0,359.0,,40.632518,-74.0962142,Silver Lake,No
NY_5880,Condo/Co-op,Bronx,3.0,1.0,Bronx,1000.0,,1960.0,817.0,1011.0,40.8383814,-73.8609355,Bronx,No
NY_2433,Single Family Residential,Queens Village,3.0,1.5,Queens Village,1672.0,3000.0,1930.0,830.0,,40.705889,-73.74135799999998,Queens Village,wood floor
NY_1537,Condo/Co-op,Bronx,1.0,1.0,Riverdale,975.0,,1953.0,221.0,,40.8828679,-73.91129620000002,Riverdale,No
NY_10421,Single Family Residential,Staten Island,2.0,2.0,Manor Heights,1800.0,2178.0,1989.0,453.0,67.0,40.6076652,-74.13132409999999,Manor Heights,No
NY_4142,Multi-Family (2-4 Unit),Bronx,6.0,,Bronx,2683.0,1807.0,1955.0,732.0,,40.871432,-73.85343,,No
NY_10995,Condo/Co-op,Forest Hills,2.0,1.0,Claremont,1100.0,,1937.0,1027.0,,40.726038,-73.845711,Claremont,wood floor
NY_10488,Single Family Residential,Staten Island,3.0,3.0,Travis,1440.0,2328.0,2003.0,248.0,33.0,40.595061,-74.188865,Travis,No
NY_7131,Condo/Co-op,Bronx,1.0,1.0,Bronx,700.0,,1940.0,859.0,,40.8704816,-73.88231040000002,Bronx,No
NY_5805,Condo/Co-op,call Listing Agent,1.0,1.0,New York,800.0,,1939.0,899.0,,40.8524262,-73.9400575,New York,No
NY_1536,Condo/Co-op,Bronx,1.0,1.0,Riverdale,1035.0,,1963.0,226.0,,40.8890444,-73.9137075,Riverdale,No
NY_4121,Single Family Residential,Bronx,3.0,1.5,Bronx,1018.0,1838.0,1945.0,1093.0,,40.875494,-73.85304599999998,,No
NY_9776,Multi-Family (2-4 Unit),Bronx,4.0,2.0,Bronx,1787.0,2448.0,1920.0,1030.0,,40.8378434,-73.8333946,Bronx,No
NY_3283,Condo/Co-op,Rockaway Park,2.0,2.0,Oceanview Condominiums,1101.0,6000.0,1985.0,765.0,231.0,40.5774706,-73.8401675,Oceanview Condominiums,wood floor
NY_9689,Single Family Residential,Bronx,5.0,2.0,Bronx,1656.0,3798.0,1955.0,183.0,,40.8167243,-73.8025493,Bronx,No
NY_6147,Townhouse,Maspeth,3.0,1.5,Maspeth,1836.0,1800.0,1945.0,165.0,,40.7330418,-73.8888084,Maspeth,No
NY_9349,Condo/Co-op,Forest Hills,2.0,1.0,Virginia,1150.0,,1939.0,589.0,,40.7128452,-73.8283617,Virginia,No
NY_157,Single Family Residential,Fresh Meadows,3.0,1.5,Fresh Meadows,1512.0,3570.0,1940.0,1087.0,,40.72279,-73.801417,Fresh Meadows,wood floor
NY_2125,Condo/Co-op,Bayside,1.0,1.0,Hollis Court,750.0,,1950.0,32.0,,40.740937,-73.760388,Hollis Court,wood floor
NY_6084,Multi-Family (2-4 Unit),Maspeth,5.0,2.0,Maspeth,1136.0,3332.0,1915.0,561.0,,40.73063,-73.8949729,Maspeth,No
NY_4080,Multi-Family (2-4 Unit),Bronx,4.0,2.5,Bronx,2018.0,,1945.0,310.0,,40.8761852,-73.8527839,,No
NY_5612,Condo/Co-op,Woodside,1.0,1.0,Coronet Owners,780.0,,1963.0,618.0,,40.7418242,-73.9019492,Coronet Owners,wood floor
NY_8839,Townhouse,Bronx,3.0,1.0,Bronx,1080.0,,1950.0,178.0,,40.81605,-73.819988,Bronx,No
NY_3695,Multi-Family (2-4 Unit),Bronx,0.0,,Bronx,3060.0,1999.0,1929.0,316.0,,40.82881,-73.871756,Bronx,No
NY_1710,Single Family Residential,E. Elmhurst,3.0,2.5,E. Elmhurst,1280.0,2500.0,1925.0,1011.0,,40.765683,-73.866715,E. Elmhurst,No
NY_262,Multi-Family (2-4 Unit),Bronx,5.0,3.0,Bronx,2410.0,1964.0,2000.0,908.0,,40.818001,-73.8857589,Bronx,No
NY_7806,Condo/Co-op,Long Island City,1.0,1.0,Hunters View,826.0,,2007.0,401.0,735.0,40.7430615,-73.9507233,Hunters View,No
NY_4681,Multi-Family (2-4 Unit),Bronx,5.0,4.0,Bronx,2223.0,2164.0,2005.0,718.0,,40.8796139,-73.833974,Bronx,No
NY_5567,Condo/Co-op,Woodside,2.0,1.0,Sunnyhill,900.0,,1950.0,95.0,,40.7475585,-73.9127967,Sunnyhill,wood floor
NY_6707,Single Family Residential,Bronx,2.0,2.0,Bronx,1330.0,3332.0,1935.0,34.0,,40.84569000000001,-73.78567,Bronx,No
NY_4307,Multi-Family (2-4 Unit),Bronx,6.0,2.0,Bronx,2500.0,2818.0,1955.0,505.0,,40.8907855,-73.8468915,Bronx,No
NY_5979,Condo/Co-op,Rosedale,3.0,1.5,Rosedale Townhouse Condo,1296.0,,1967.0,634.0,375.0,40.65101,-73.73147,Rosedale Townhouse Condo,wood floor
NY_8215,Condo/Co-op,Flushing,3.0,2.0,Franconia Village,1350.0,,1955.0,535.0,,40.7528998,-73.82026440000001,Franconia Village,No
NY_10803,Condo/Co-op,Bronx,1.0,1.0,Bronx,750.0,,1956.0,1094.0,,40.9048823,-73.9051113,Bronx,No
NY_4404,Condo/Co-op,E. Elmhurst,1.0,1.0,Garden Bay,677.0,,1939.0,407.0,512.0,40.7676963,-73.8921156,Garden Bay,wood floor
NY_415,Single Family Residential,Staten Island,3.0,2.0,Annandale,1560.0,1135.0,1995.0,208.0,,40.562879,-74.1825621,Annandale,No
NY_3567,Single Family Residential,St. Albans,4.0,3.0,St. Albans,1408.0,3000.0,1930.0,880.0,,40.699518,-73.76579699999998,St. Albans,No
NY_10220,Single Family Residential,Staten Island,2.0,2.0,Great Kills,1060.0,900.0,1990.0,22.0,45.0,40.5537926,-74.1451448,Great Kills,No
NY_5976,Multi-Family (2-4 Unit),Rosedale,4.0,2.0,Rosedale,1600.0,4440.0,1950.0,645.0,,40.65635,-73.744128,Rosedale,wood floor
NY_3259,Single Family Residential,Belle Harbor,5.0,4.0,Belle Harbor,3100.0,4967.0,1960.0,950.0,,40.5762081,-73.8597098,Belle Harbor,No
NY_751,Single Family Residential,Staten Island,3.0,2.0,South Beach,1200.0,2000.0,2015.0,1031.0,,40.580774100000006,-74.0814285,South Beach,No
NY_7241,Condo/Co-op,Brooklyn,2.0,2.0,Bay Ridge,1100.0,,1983.0,271.0,,40.6124988,-74.0357658,Bay Ridge,wood floor
NY_10223,Single Family Residential,Staten Island,3.0,4.0,Great Kills,1650.0,2375.0,2007.0,4.0,,40.5523058,-74.1408316,Great Kills,No
NY_2419,Condo/Co-op,Flushing,2.0,2.0,Village Mall,1002.0,,1973.0,1027.0,,40.7192831,-73.8110988,Village Mall,wood floor
NY_4280,Single Family Residential,Bronx,2.0,1.0,Bronx,1056.0,2761.0,1925.0,1034.0,,40.8914809,-73.830339,Bronx,hardwood floor
NY_4448,Single Family Residential,E. Elmhurst,3.0,2.0,E. Elmhurst,1225.0,1800.0,1955.0,481.0,,40.769192,-73.890393,E. Elmhurst,wood floor
NY_1931,Townhouse,Staten Island,4.0,3.0,Tottenville,3879.0,5127.0,2012.0,194.0,,40.5019553,-74.24803440000002,Tottenville,No
NY_10998,Condo/Co-op,Forest Hills,2.0,1.0,Willow Glen,850.0,,1955.0,822.0,,40.7198562,-73.8357747,Willow Glen,wood floor
